transaction_id,merchant_id,merchant_name,mcc,amount,currency,transaction_date,card_bin,card_last_four,card_type,issuer_country,processor_name,status
TXN-00039,MERCH-004,Tokopulse Gaming,5411,324638.21,IDR,2026-03-17,411511,0319,debit,ID,ProcessorAlpha,approved
TXN-00040,MERCH-004,Tokopulse Gaming,5816,319.79,BRL,2026-04-07,650400,1053,credit,BR,ProcessorBeta,approved
TXN-00041,MERCH-002,Tokopulse Marketplace,5968,214861.54,IDR,2026-02-23,453210,6918,prepaid,ID,ProcessorAlpha,approved
TXN-00042,MERCH-003,Tokopulse Premium Subscription,5999,690591.06,IDR,2026-04-14,601100,4572,credit,ID,ProcessorAlpha,approved
TXN-00043,MERCH-002,Tokopulse Marketplace,5968,704687.04,IDR,2026-04-22,601100,9964,credit,ID,ProcessorAlpha,approved
TXN-00044,MERCH-001,Tokopulse Wallet Topup,5912,23486.55,IDR,2026-04-11,510510,2117,credit,ID,ProcessorAlpha,approved
TXN-00045,MERCH-002,Tokopulse Marketplace,5968,52029.09,IDR,2026-02-25,453210,8701,credit,ID,ProcessorGamma,approved
TXN-00046,MERCH-003,Tokopulse Premium Subscription,5816,138.91,USD,2026-02-02,650400,0302,prepaid,SG,ProcessorGamma,approved
TXN-00047,MERCH-002,Tokopulse Marketplace,5968,467.65,USD,2026-02-13,411511,8110,prepaid,SG,ProcessorBeta,approved
TXN-00048,MERCH-004,Tokopulse Gaming,5816,737093.80,IDR,2026-03-15,411511,2289,debit,ID,ProcessorAlpha,approved
TXN-00049,MERCH-003,Tokopulse Premium Subscription,5816,66981.27,IDR,2026-03-04,411111,6240,prepaid,ID,ProcessorAlpha,approved
TXN-00050,MERCH-003,Tokopulse Premium Subscription,5968,48249.56,IDR,2026-02-23,401234,4312,debit,ID,ProcessorAlpha,approved
TXN-00051,MERCH-003,Tokopulse Premium Subscription,5968,40318.34,IDR,2026-03-11,411511,5494,debit,ID,ProcessorAlpha,approved
TXN-00052,MERCH-001,Tokopulse Wallet Topup,5732,497173.14,IDR,2026-03-03,650400,4328,credit,ID,ProcessorAlpha,approved
TXN-00053,MERCH-002,Tokopulse Marketplace,5816,200.02,USD,2026-03-10,601100,9594,prepaid,US,ProcessorAlpha,approved
TXN-00054,MERCH-002,Tokopulse Marketplace,5999,323.82,BRL,2026-03-13,552233,4655,prepaid,BR,ProcessorBeta,approved
TXN-00055,MERCH-002,Tokopulse Marketplace,5732,509.32,BRL,2026-04-30,411111,8581,prepaid,BR,ProcessorGamma,approved
TXN-00056,MERCH-001,Tokopulse Wallet Topup,5816,47.12,USD,2026-02-05,552233,1718,debit,US,ProcessorAlpha,approved
TXN-00057,MERCH-004,Tokopulse Gaming,5816,475276.45,IDR,2026-04-28,411511,7486,credit,ID,ProcessorAlpha,approved
TXN-00058,MERCH-001,Tokopulse Wallet Topup,5816,374.14,USD,2026-04-01,552233,4350,credit,SG,ProcessorAlpha,approved
TXN-00059,MERCH-002,Tokopulse Marketplace,5912,249.50,USD,2026-03-20,545454,4707,credit,NG,ProcessorAlpha,approved
TXN-00060,MERCH-002,Tokopulse Marketplace,5816,169.23,USD,2026-04-24,453210,9302,credit,US,ProcessorBeta,approved
TXN-00061,MERCH-001,Tokopulse Wallet Topup,5732,212547.98,IDR,2026-04-27,650400,8021,debit,ID,ProcessorAlpha,approved
TXN-00062,MERCH-003,Tokopulse Premium Subscription,5912,578869.77,IDR,2026-04-11,650400,7748,credit,ID,ProcessorAlpha,declined
TXN-00063,MERCH-003,Tokopulse Premium Subscription,5732,726559.56,IDR,2026-03-29,650400,3452,credit,ID,ProcessorGamma,approved
TXN-00064,MERCH-001,Tokopulse Wallet Topup,5999,134.60,USD,2026-03-18,424242,8335,debit,NG,ProcessorAlpha,approved
TXN-00065,MERCH-001,Tokopulse Wallet Topup,5816,380947.65,IDR,2026-04-03,470100,8055,prepaid,ID,ProcessorAlpha,approved
TXN-00066,MERCH-004,Tokopulse Gaming,5816,320893.18,IDR,2026-03-20,601100,0028,debit,ID,ProcessorAlpha,approved
TXN-00067,MERCH-003,Tokopulse Premium Subscription,5816,539072.32,IDR,2026-03-09,601100,6392,prepaid,ID,ProcessorAlpha,approved
TXN-00068,MERCH-001,Tokopulse Wallet Topup,5968,642877.62,IDR,2026-03-07,549920,4679,prepaid,ID,ProcessorAlpha,approved
TXN-00069,MERCH-002,Tokopulse Marketplace,5912,390557.80,IDR,2026-02-24,545454,7008,credit,ID,ProcessorGamma,approved
TXN-00070,MERCH-004,Tokopulse Gaming,5816,361.19,USD,2026-02-06,411511,2270,prepaid,SG,ProcessorGamma,approved
TXN-00071,MERCH-003,Tokopulse Premium Subscription,5999,108573.82,IDR,2026-04-01,650400,4190,prepaid,ID,ProcessorAlpha,approved
TXN-00072,MERCH-003,Tokopulse Premium Subscription,5968,153.91,GBP,2026-04-12,601100,2648,credit,GB,ProcessorBeta,approved
TXN-00073,MERCH-002,Tokopulse Marketplace,5999,113.91,USD,2026-03-14,411511,2287,prepaid,SG,ProcessorGamma,approved
TXN-00074,MERCH-002,Tokopulse Marketplace,5816,266337.10,IDR,2026-02-11,545454,9332,credit,ID,ProcessorAlpha,approved
TXN-00075,MERCH-001,Tokopulse Wallet Topup,5411,319204.43,IDR,2026-04-08,470100,1016,debit,ID,ProcessorAlpha,approved
TXN-00076,MERCH-003,Tokopulse Premium Subscription,5816,519763.59,IDR,2026-04-08,401234,3538,credit,ID,ProcessorBeta,approved
TXN-00077,MERCH-003,Tokopulse Premium Subscription,5411,489656.91,IDR,2026-03-27,545454,0357,credit,ID,ProcessorGamma,approved
TXN-00078,MERCH-001,Tokopulse Wallet Topup,5732,775.26,BRL,2026-04-03,601100,8648,debit,BR,ProcessorAlpha,approved
TXN-00079,MERCH-004,Tokopulse Gaming,5816,128468.11,IDR,2026-04-07,545454,7492,credit,ID,ProcessorGamma,approved
TXN-00080,MERCH-001,Tokopulse Wallet Topup,5816,433495.98,IDR,2026-02-04,411111,2096,prepaid,ID,ProcessorBeta,approved
TXN-00081,MERCH-003,Tokopulse Premium Subscription,5912,350.80,USD,2026-02-14,411511,9550,credit,US,ProcessorAlpha,approved
TXN-00082,MERCH-004,Tokopulse Gaming,5999,15846.74,IDR,2026-04-09,510510,5183,prepaid,ID,ProcessorAlpha,approved
TXN-00083,MERCH-002,Tokopulse Marketplace,5968,275.77,USD,2026-02-03,650400,5036,credit,SG,ProcessorGamma,approved
TXN-00084,MERCH-001,Tokopulse Wallet Topup,5912,45.14,USD,2026-03-01,545454,3715,debit,SG,ProcessorBeta,approved
TXN-00085,MERCH-001,Tokopulse Wallet Topup,5912,281305.12,IDR,2026-03-22,470100,8271,credit,ID,ProcessorAlpha,approved
TXN-00086,MERCH-002,Tokopulse Marketplace,5968,577904.97,IDR,2026-02-24,650400,4832,credit,ID,ProcessorAlpha,approved
TXN-00087,MERCH-004,Tokopulse Gaming,5816,371513.76,IDR,2026-04-26,401234,6446,credit,ID,ProcessorAlpha,approved
TXN-00088,MERCH-002,Tokopulse Marketplace,5816,210.62,USD,2026-05-01,411111,5147,prepaid,US,ProcessorAlpha,approved
TXN-00089,MERCH-001,Tokopulse Wallet Topup,5411,155152.39,IDR,2026-04-24,453210,0522,debit,ID,ProcessorGamma,approved
TXN-00090,MERCH-004,Tokopulse Gaming,5912,139406.79,IDR,2026-01-31,549920,6884,credit,ID,ProcessorAlpha,approved
TXN-00091,MERCH-002,Tokopulse Marketplace,5968,619175.87,IDR,2026-03-27,601100,3206,debit,ID,ProcessorAlpha,approved
TXN-00092,MERCH-004,Tokopulse Gaming,5411,556930.06,IDR,2026-04-01,545454,6631,credit,ID,ProcessorAlpha,approved
TXN-00093,MERCH-004,Tokopulse Gaming,5816,605453.49,IDR,2026-02-07,411111,9922,debit,ID,ProcessorAlpha,approved
TXN-00094,MERCH-003,Tokopulse Premium Subscription,5999,47035.39,IDR,2026-04-29,510510,0061,prepaid,ID,ProcessorAlpha,approved
TXN-00095,MERCH-001,Tokopulse Wallet Topup,5816,364263.96,IDR,2026-03-31,411111,4113,debit,ID,ProcessorGamma,approved
TXN-00096,MERCH-004,Tokopulse Gaming,5816,9.31,USD,2026-03-10,424242,9949,credit,SG,ProcessorGamma,approved
TXN-00097,MERCH-003,Tokopulse Premium Subscription,5411,591117.28,IDR,2026-04-17,549920,2620,credit,ID,ProcessorAlpha,approved
TXN-00098,MERCH-004,Tokopulse Gaming,5816,243.44,GBP,2026-04-10,453210,1723,credit,GB,ProcessorAlpha,declined
TXN-00099,MERCH-003,Tokopulse Premium Subscription,5816,85870.60,IDR,2026-04-04,401234,2837,credit,ID,ProcessorGamma,declined
TXN-00100,MERCH-002,Tokopulse Marketplace,5999,670077.98,IDR,2026-03-02,601100,1985,debit,ID,ProcessorBeta,approved
TXN-00101,MERCH-003,Tokopulse Premium Subscription,5968,189.62,USD,2026-03-05,510510,4019,credit,US,ProcessorAlpha,approved
TXN-00102,MERCH-002,Tokopulse Marketplace,5816,166.54,USD,2026-03-22,510510,8623,credit,US,ProcessorAlpha,approved
TXN-00103,MERCH-001,Tokopulse Wallet Topup,5816,90214.33,IDR,2026-04-01,552233,7344,debit,ID,ProcessorGamma,approved
TXN-00104,MERCH-001,Tokopulse Wallet Topup,5816,52037.50,IDR,2026-04-17,510510,1230,debit,ID,ProcessorGamma,approved
TXN-00105,MERCH-002,Tokopulse Marketplace,5968,388.62,USD,2026-04-26,650400,9767,prepaid,US,ProcessorGamma,approved
TXN-00106,MERCH-003,Tokopulse Premium Subscription,5411,264912.17,IDR,2026-02-05,545454,9820,prepaid,ID,ProcessorAlpha,approved
TXN-00107,MERCH-002,Tokopulse Marketplace,5912,513565.01,IDR,2026-02-23,411111,0515,debit,ID,ProcessorBeta,approved
TXN-00108,MERCH-004,Tokopulse Gaming,5816,599945.25,IDR,2026-04-25,453210,1493,prepaid,ID,ProcessorBeta,approved
TXN-00109,MERCH-002,Tokopulse Marketplace,5968,339.64,BRL,2026-03-08,601100,0841,debit,BR,ProcessorBeta,approved
TXN-00110,MERCH-003,Tokopulse Premium Subscription,5816,650221.08,IDR,2026-03-18,601100,6635,credit,ID,ProcessorBeta,approved
TXN-00111,MERCH-001,Tokopulse Wallet Topup,5912,98451.38,IDR,2026-02-11,601100,7551,credit,ID,ProcessorAlpha,approved
TXN-00112,MERCH-002,Tokopulse Marketplace,5999,119735.15,IDR,2026-03-22,411111,6075,prepaid,ID,ProcessorAlpha,approved
TXN-00113,MERCH-002,Tokopulse Marketplace,5968,133933.82,IDR,2026-02-21,424242,8036,credit,ID,ProcessorGamma,approved
TXN-00114,MERCH-003,Tokopulse Premium Subscription,5732,246176.59,IDR,2026-04-18,424242,2625,prepaid,ID,ProcessorGamma,approved
TXN-00115,MERCH-002,Tokopulse Marketplace,5999,637068.26,IDR,2026-04-01,401234,6549,prepaid,ID,ProcessorAlpha,approved
TXN-00116,MERCH-002,Tokopulse Marketplace,5816,124858.35,IDR,2026-02-24,601100,0624,prepaid,ID,ProcessorAlpha,approved
TXN-00117,MERCH-003,Tokopulse Premium Subscription,5999,349964.12,IDR,2026-04-21,453210,5049,prepaid,ID,ProcessorGamma,approved
TXN-00118,MERCH-002,Tokopulse Marketplace,5411,343390.21,IDR,2026-03-28,601100,8019,debit,ID,ProcessorAlpha,approved
TXN-00119,MERCH-002,Tokopulse Marketplace,5999,391.09,USD,2026-03-30,650400,6559,credit,NG,ProcessorGamma,approved
TXN-00120,MERCH-001,Tokopulse Wallet Topup,5912,283519.25,IDR,2026-03-28,424242,0666,prepaid,ID,ProcessorAlpha,approved
TXN-00121,MERCH-002,Tokopulse Marketplace,5411,389.93,USD,2026-04-06,453210,6190,prepaid,NG,ProcessorAlpha,approved
TXN-00122,MERCH-002,Tokopulse Marketplace,5999,553082.03,IDR,2026-02-14,411111,8058,debit,ID,ProcessorAlpha,declined
TXN-00123,MERCH-002,Tokopulse Marketplace,5816,71.10,BRL,2026-03-16,552233,5305,prepaid,BR,ProcessorBeta,approved
TXN-00124,MERCH-003,Tokopulse Premium Subscription,5968,384130.18,IDR,2026-04-02,650400,8290,credit,ID,ProcessorAlpha,approved
TXN-00125,MERCH-003,Tokopulse Premium Subscription,5816,148840.84,IDR,2026-02-20,549920,5371,debit,ID,ProcessorBeta,approved
TXN-00126,MERCH-002,Tokopulse Marketplace,5999,50700.11,IDR,2026-03-18,510510,8543,prepaid,ID,ProcessorGamma,approved
TXN-00127,MERCH-001,Tokopulse Wallet Topup,5411,370.27,USD,2026-03-19,510510,9459,credit,SG,ProcessorAlpha,declined
TXN-00128,MERCH-003,Tokopulse Premium Subscription,5816,223.93,USD,2026-02-22,549920,4855,prepaid,NG,ProcessorBeta,declined
TXN-00129,MERCH-003,Tokopulse Premium Subscription,5999,464.59,USD,2026-03-12,510510,3631,credit,US,ProcessorBeta,approved
TXN-00130,MERCH-003,Tokopulse Premium Subscription,5912,211.76,USD,2026-03-18,401234,3723,prepaid,US,ProcessorGamma,approved
TXN-00131,MERCH-001,Tokopulse Wallet Topup,5816,431834.06,IDR,2026-03-10,411111,3674,debit,ID,ProcessorAlpha,approved
TXN-00132,MERCH-003,Tokopulse Premium Subscription,5816,284182.38,IDR,2026-04-01,401234,3990,prepaid,ID,ProcessorAlpha,approved
TXN-00133,MERCH-002,Tokopulse Marketplace,5816,484084.42,IDR,2026-04-26,650400,4329,credit,ID,ProcessorGamma,approved
TXN-00134,MERCH-001,Tokopulse Wallet Topup,5411,299.39,USD,2026-04-15,552233,8074,credit,SG,ProcessorAlpha,declined
TXN-00135,MERCH-002,Tokopulse Marketplace,5816,405672.64,IDR,2026-03-23,411111,1718,credit,ID,ProcessorAlpha,approved
TXN-00136,MERCH-002,Tokopulse Marketplace,5816,395919.70,IDR,2026-04-23,424242,2861,prepaid,ID,ProcessorAlpha,approved
TXN-00137,MERCH-003,Tokopulse Premium Subscription,5816,745635.09,IDR,2026-04-02,453210,7154,prepaid,ID,ProcessorBeta,approved
TXN-00138,MERCH-004,Tokopulse Gaming,5912,91.82,USD,2026-02-13,453210,2019,debit,NG,ProcessorAlpha,approved
TXN-00139,MERCH-003,Tokopulse Premium Subscription,5968,482361.46,IDR,2026-04-27,470100,8572,debit,ID,ProcessorAlpha,approved
TXN-00140,MERCH-003,Tokopulse Premium Subscription,5816,661833.22,IDR,2026-02-01,552233,3322,credit,ID,ProcessorAlpha,approved
TXN-00141,MERCH-003,Tokopulse Premium Subscription,5411,456904.73,IDR,2026-03-20,545454,8787,debit,ID,ProcessorGamma,approved
TXN-00142,MERCH-004,Tokopulse Gaming,5816,688.87,BRL,2026-03-27,411511,5042,credit,BR,ProcessorGamma,approved
TXN-00143,MERCH-004,Tokopulse Gaming,5816,284.78,USD,2026-02-21,401234,1747,prepaid,US,ProcessorAlpha,approved
TXN-00144,MERCH-002,Tokopulse Marketplace,5816,37689.35,IDR,2026-02-17,549920,1111,prepaid,ID,ProcessorBeta,approved
TXN-00145,MERCH-001,Tokopulse Wallet Topup,5411,103.66,USD,2026-04-09,453210,6288,credit,US,ProcessorGamma,approved
TXN-00146,MERCH-002,Tokopulse Marketplace,5816,39887.56,IDR,2026-04-22,545454,4708,debit,ID,ProcessorAlpha,approved
TXN-00147,MERCH-001,Tokopulse Wallet Topup,5816,231427.66,IDR,2026-03-15,424242,4205,debit,ID,ProcessorAlpha,approved
TXN-00148,MERCH-001,Tokopulse Wallet Topup,5411,455.62,USD,2026-04-18,470100,0507,debit,NG,ProcessorAlpha,approved
TXN-00149,MERCH-001,Tokopulse Wallet Topup,5816,176.66,USD,2026-05-01,601100,1489,prepaid,SG,ProcessorAlpha,approved
TXN-00150,MERCH-003,Tokopulse Premium Subscription,5816,399813.47,IDR,2026-03-08,424242,0071,debit,ID,ProcessorGamma,declined
TXN-00151,MERCH-004,Tokopulse Gaming,5816,483.74,USD,2026-04-16,453210,4269,prepaid,SG,ProcessorAlpha,approved
TXN-00152,MERCH-002,Tokopulse Marketplace,5816,381261.97,IDR,2026-02-14,510510,8032,prepaid,ID,ProcessorGamma,approved
TXN-00153,MERCH-001,Tokopulse Wallet Topup,5411,84934.13,IDR,2026-03-22,552233,6916,prepaid,ID,ProcessorGamma,approved
TXN-00154,MERCH-001,Tokopulse Wallet Topup,5968,208448.63,IDR,2026-04-10,549920,3826,debit,ID,ProcessorAlpha,approved
TXN-00155,MERCH-002,Tokopulse Marketplace,5999,324.92,USD,2026-03-16,411511,7377,prepaid,US,ProcessorBeta,approved
TXN-00156,MERCH-003,Tokopulse Premium Subscription,5912,521460.10,IDR,2026-03-04,424242,7569,prepaid,ID,ProcessorBeta,approved
TXN-00157,MERCH-002,Tokopulse Marketplace,5968,236608.16,IDR,2026-05-01,411511,2555,credit,ID,ProcessorGamma,approved
TXN-00158,MERCH-003,Tokopulse Premium Subscription,5411,84.66,USD,2026-03-13,401234,1667,credit,SG,ProcessorGamma,approved
TXN-00159,MERCH-001,Tokopulse Wallet Topup,5816,738117.10,IDR,2026-03-10,545454,3214,credit,ID,ProcessorBeta,approved
TXN-00160,MERCH-001,Tokopulse Wallet Topup,5411,355978.52,IDR,2026-02-01,510510,3644,prepaid,ID,ProcessorAlpha,approved
TXN-00161,MERCH-003,Tokopulse Premium Subscription,5816,204051.97,IDR,2026-03-23,650400,7045,prepaid,ID,ProcessorAlpha,approved
TXN-00162,MERCH-004,Tokopulse Gaming,5999,426.96,GBP,2026-04-27,545454,7086,debit,GB,ProcessorAlpha,approved
TXN-00163,MERCH-003,Tokopulse Premium Subscription,5816,717.90,BRL,2026-03-03,552233,2563,debit,BR,ProcessorGamma,approved
TXN-00164,MERCH-004,Tokopulse Gaming,5816,471853.05,IDR,2026-03-24,650400,2999,prepaid,ID,ProcessorAlpha,approved
TXN-00165,MERCH-003,Tokopulse Premium Subscription,5732,682521.09,IDR,2026-02-13,411111,2635,prepaid,ID,ProcessorAlpha,approved
TXN-00166,MERCH-002,Tokopulse Marketplace,5816,637662.23,IDR,2026-03-30,411511,8391,credit,ID,ProcessorAlpha,approved
TXN-00167,MERCH-003,Tokopulse Premium Subscription,5912,560450.80,IDR,2026-03-30,411511,6430,prepaid,ID,ProcessorAlpha,approved
TXN-00168,MERCH-001,Tokopulse Wallet Topup,5411,320.60,USD,2026-03-04,470100,0218,credit,US,ProcessorAlpha,approved
TXN-00169,MERCH-004,Tokopulse Gaming,5411,292.19,USD,2026-02-13,601100,8635,credit,US,ProcessorAlpha,approved
TXN-00170,MERCH-004,Tokopulse Gaming,5816,110034.90,IDR,2026-02-08,650400,7686,prepaid,ID,ProcessorGamma,approved
TXN-00171,MERCH-002,Tokopulse Marketplace,5912,359054.15,IDR,2026-03-09,424242,7690,debit,ID,ProcessorGamma,approved
TXN-00172,MERCH-002,Tokopulse Marketplace,5411,556.21,BRL,2026-03-26,510510,4607,debit,BR,ProcessorBeta,approved
TXN-00173,MERCH-002,Tokopulse Marketplace,5411,367469.29,IDR,2026-03-26,552233,5938,credit,ID,ProcessorBeta,approved
TXN-00174,MERCH-003,Tokopulse Premium Subscription,5816,623506.41,IDR,2026-03-13,601100,5654,prepaid,ID,ProcessorGamma,approved
TXN-00175,MERCH-001,Tokopulse Wallet Topup,5816,714549.90,IDR,2026-04-24,552233,9477,credit,ID,ProcessorAlpha,approved
TXN-00176,MERCH-002,Tokopulse Marketplace,5912,176.49,USD,2026-02-19,424242,8757,credit,NG,ProcessorAlpha,approved
TXN-00177,MERCH-001,Tokopulse Wallet Topup,5968,102.70,USD,2026-04-29,552233,7185,prepaid,SG,ProcessorAlpha,approved
TXN-00178,MERCH-001,Tokopulse Wallet Topup,5968,322993.04,IDR,2026-02-17,411511,7935,debit,ID,ProcessorAlpha,approved
TXN-00179,MERCH-002,Tokopulse Marketplace,5968,251.60,USD,2026-04-10,470100,2627,debit,SG,ProcessorBeta,approved
TXN-00180,MERCH-004,Tokopulse Gaming,5732,334.32,USD,2026-03-31,470100,1235,credit,US,ProcessorAlpha,approved
TXN-00181,MERCH-003,Tokopulse Premium Subscription,5816,15.18,GBP,2026-02-05,552233,5414,credit,GB,ProcessorBeta,declined
TXN-00182,MERCH-004,Tokopulse Gaming,5816,21.78,USD,2026-03-25,650400,5999,debit,NG,ProcessorBeta,approved
TXN-00183,MERCH-004,Tokopulse Gaming,5816,145.65,USD,2026-03-15,411511,4737,debit,SG,ProcessorAlpha,approved
TXN-00184,MERCH-003,Tokopulse Premium Subscription,5411,385255.64,IDR,2026-03-06,650400,3334,prepaid,ID,ProcessorGamma,approved
TXN-00185,MERCH-004,Tokopulse Gaming,5816,248064.09,IDR,2026-03-10,453210,1434,credit,ID,ProcessorAlpha,declined
TXN-00186,MERCH-004,Tokopulse Gaming,5411,274.97,USD,2026-02-06,470100,0760,credit,SG,ProcessorAlpha,approved
TXN-00187,MERCH-004,Tokopulse Gaming,5816,395.57,USD,2026-04-10,401234,9769,prepaid,NG,ProcessorBeta,approved
TXN-00188,MERCH-001,Tokopulse Wallet Topup,5912,474579.08,IDR,2026-02-22,545454,0605,debit,ID,ProcessorAlpha,approved
TXN-00189,MERCH-001,Tokopulse Wallet Topup,5411,655862.72,IDR,2026-02-17,552233,4227,debit,ID,ProcessorGamma,approved
TXN-00190,MERCH-002,Tokopulse Marketplace,5411,29988.16,IDR,2026-04-13,601100,0894,debit,ID,ProcessorBeta,declined
TXN-00191,MERCH-001,Tokopulse Wallet Topup,5912,289.78,USD,2026-03-23,453210,6342,prepaid,NG,ProcessorAlpha,approved
TXN-00192,MERCH-002,Tokopulse Marketplace,5912,276.66,USD,2026-02-10,650400,2486,prepaid,NG,ProcessorBeta,approved
TXN-00193,MERCH-001,Tokopulse Wallet Topup,5816,517564.39,IDR,2026-02-15,601100,3575,credit,ID,ProcessorGamma,approved
TXN-00194,MERCH-002,Tokopulse Marketplace,5968,543723.01,IDR,2026-03-03,650400,0821,debit,ID,ProcessorAlpha,approved
TXN-00195,MERCH-002,Tokopulse Marketplace,5816,150.11,USD,2026-04-12,470100,4162,credit,NG,ProcessorBeta,approved
TXN-00196,MERCH-001,Tokopulse Wallet Topup,5816,664248.96,IDR,2026-04-28,411111,5096,debit,ID,ProcessorGamma,approved
TXN-00197,MERCH-002,Tokopulse Marketplace,5816,161.56,USD,2026-04-14,650400,2727,credit,US,ProcessorBeta,approved
